PublicationYear,DocumentType,Author,DocumentName,tag,content
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,planned_action:hospital_capacity,The opening of the High Observation Unit in A&E and additional bed capacity are subject to the National Bed Capacity Review
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.hospital_capacity,Inpatient: Activity is ahead of the Service Plan target by 4% overall and this is projected to continue to year-end. Medical admissions are 4.19% ahead of target due mainly to emergency admissions
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.hospital_capacity,A&E: Activity is ahead of target by 4%. New patients are 7% ahead of target, but reviews are significantly below target by 15%.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.hospital_capacity,The commissioning of the new A&E Department was completed with the exception of the Observation Unit and the minor operating room.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.hospital_capacity,Commissioning of the ICU was completed with the opening of the 7th ICU bed.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.staffing,An additional Consultant Anaesthetist commenced.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.staffing,A Casualty Officer was appointed to Ennis General Hospital.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.community_healthcare,Winter Initiative: contract 35 additional beds in the nursing home sector.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.governance,A Management Group is in place to ensure that bed blocking does not occur where contractual arrangements are in place.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.governance,Revised admission and discharge policies for those benefiting under this arrangement have been agreed and circulated.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.governance,evised admission and discharge policies for those benefiting under this arrangement have been agreed and circulated.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.health_service_system,An alternative minor injuries clinic in Limerick City.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.hospital_capacity,The opening of the Observation Unit and minor operating theatre area.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.staffing,The appointment of an A & E Nurse Practitioner.
2001,Service_Plan,Mid-Western Health Board,Service_Plan_2001,impact.health_service_system,A proper transport system for inter hospital patient transfers.
